"","Order","Suborders","Superfamily","Family","OTOL node ID","GenbankTaxonID","GenBank ""Taxonomy""  value (# species in genbank taxonomy)","GenBank ""sp."" (# sp. listed in genbank taxonomy)","GenBank ""spp.""","CoL (or other) number of Species descibed (not # estimated to be known to taxonomists)","% of species in NCBI sequenced","X12","X13","X14","X15","taxon"
"1","Hexapoda: Collembola",NA,NA,"Heterojapygidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heterojapygidae"
"2","Hexapoda: Collembola",NA,NA,"Octostigmatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Octostigmatidae"
"3","Hexapoda: Collembola",NA,NA,"Parajapygidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parajapygidae"
"4","Hexapoda: Collembola",NA,NA,"Japygidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japygidae"
"5","Hexapoda: Collembola",NA,NA,"Campodeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campodeidae"
"6","Hexapoda: Protura",NA,NA,"Fujientomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fujientomidae"
"7","Hexapoda: Protura",NA,NA,"Hesperentomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hesperentomidae"
"8","Hexapoda: Protura",NA,NA,"Acerentomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acerentomidae"
"9","Hexapoda: Protura",NA,NA,"Protentomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protentomidae"
"10","Hexapoda: Protura",NA,NA,"Sinentomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sinentomidae"
"11","Hexapoda: Protura",NA,NA,"Eosentomidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Eosentomidae"
"12","Hexapoda: Archaeognatha",NA,NA,"Machilidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Machilidae"
"13","Hexapoda: Archaeognatha",NA,NA,"Meinertellidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meinertellidae"
"14","Hexapoda: Zygentoma",NA,NA,"Lepidotrichidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lepidotrichidae"
"15","Hexapoda: Zygentoma",NA,NA,"Lepismatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lepismatidae"
"16","Hexapoda: Zygentoma",NA,NA,"Maindroniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maindroniidae"
"17","Hexapoda: Zygentoma",NA,NA,"Nicoletiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicoletiidae"
"18","Hexapoda: Odonata","Anisozygoptera","---","Ephiophlebiidae","461356","126192",5,2,0,4,"75",NA,NA,NA,NA,"Ephiophlebiidae"
"19","Hexapoda: Odonata","Zygoptera","---","Amphipterygidae","735548","126186",19,7,0,12,"100",NA,NA,NA,NA,"Amphipterygidae"
"20","Hexapoda: Odonata","Zygoptera","Calopterygoidea","Calopterygidae","866417","50489",174,38,0,176,"77.27272727",NA,NA,NA,NA,"Calopterygidae"
"21","Hexapoda: Odonata","Zygoptera","Calopterygoidea","Chlorocyphidae","735549","126187",58,0,0,151,"38.41059603",NA,NA,NA,NA,"Chlorocyphidae"
"22","Hexapoda: Odonata","Zygoptera","Coenagrionoidea","Coenagrionidae","346419","70895",559,110,0,1133,"39.62930274",NA,NA,NA,NA,"Coenagrionidae"
"23","Hexapoda: Odonata","Zygoptera","---","Dicteriadidae","1038345","126188",3,2,0,2,"50",NA,NA,NA,NA,"Dicteriadidae"
"24","Hexapoda: Odonata","Zygoptera","---","Diphlebiidae","564524","281222",9,3,0,9,"66.66666667",NA,NA,NA,NA,"Diphlebiidae"
"25","Hexapoda: Odonata","Zygoptera","Calopterygoidea","Euphaeidae","735550","126189",38,7,0,69,"44.92753623",NA,NA,NA,NA,"Euphaeidae"
"26","Hexapoda: Odonata","Zygoptera","---","Hemiphlebiidae","210439","126175",3,2,0,1,"100",NA,NA,NA,NA,"Hemiphlebiidae"
"27","Hexapoda: Odonata","Zygoptera","Coenagrionoidea","Isostictidae","210442","126176",20,11,0,45,"20",NA,NA,NA,NA,"Isostictidae"
"28","Hexapoda: Odonata","Zygoptera","---","Lestidae","1038335","126180",78,22,0,152,"36.84210526",NA,NA,NA,NA,"Lestidae"
"29","Hexapoda: Odonata","Zygoptera","---","Lestoideidae","735523","126181",4,3,0,5,"20",NA,NA,NA,NA,"Lestoideidae"
"30","Hexapoda: Odonata","Zygoptera","Calopterygoidea","Megapodagrionidae","854849","126182",82,13,0,310,"22.25806452",NA,NA,NA,NA,"Megapodagrionidae"
"31","Hexapoda: Odonata","Zygoptera","---","Perilestidae","1038340","126183",12,4,0,19,"42.10526316",NA,NA,NA,NA,"Perilestidae"
"32","Hexapoda: Odonata","Zygoptera","Coenagrionoidea","Platycnemididae","210441","126177",111,7,0,226,"46.01769912",NA,NA,NA,NA,"Platycnemididae"
"33","Hexapoda: Odonata","Zygoptera","---","Platystictidae","294464","101720",69,8,0,217,"28.11059908",NA,NA,NA,NA,"Platystictidae"
