"","taxon","user_supplied_name","taxon_rank","kingdom","phylum","class","order","family","genus","species","superfamily","paper","subgenus","infraspecies"
"1","Anisoptera","Anisoptera","genus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Dipterocarpaceae","Anisoptera",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"2","Odonata","Odonata","order","Animalia","Arthropoda","Insecta","Odonata",NA,NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"3","Trichoptera","Trichoptera","order","Animalia","Arthropoda","Insecta","Trichoptera",NA,NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"4","Austropetaliidae","Austropetaliidae","family","Animalia","Arthropoda","Insecta","Odonata","Austropetaliidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"5","Aeshnidae","Aeshnidae","family","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"6","Gomphidae","Gomphidae","family","Animalia","Arthropoda","Insecta","Odonata","Gomphidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"7","Petaluridae","Petaluridae","family","Animalia","Arthropoda","Insecta","Odonata","Petaluridae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"8","Neopetaliidae","Neopetaliidae","family","Animalia","Arthropoda","Insecta","Odonata","Neopetaliidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"9","Cordulegastridae","Cordulegastridae","family","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"10","Synthemistidae","Synthemistidae","family","Animalia","Arthropoda","Insecta","Odonata","Synthemistidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"11","Corduliidae","Corduliidae","family","Animalia","Arthropoda","Insecta","Odonata","Corduliidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"12","Libellulidae","Libellulidae","family","Animalia","Arthropoda","Insecta","Odonata","Libellulidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"13","Idomacromia","Idomacromia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Idomacromia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"14","Oxygastra","Oxygastra","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Oxygastra",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"15","Pterygota","Pterygota","genus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Pterygota",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"16","Epiophlebia","Epiophlebia","genus","Animalia","Arthropoda","Insecta","Odonata","Epiophlebiidae","Epiophlebia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"17","Lestidae","Lestidae","family","Animalia","Arthropoda","Insecta","Odonata","Lestidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"18","Synlestidae","Synlestidae","family","Animalia","Arthropoda","Insecta","Odonata","Synlestidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"19","Calopterygidae","Calopterygidae","family","Animalia","Arthropoda","Insecta","Odonata","Calopterygidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"20","Coenagrionidae","Coenagrionidae","family","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae",NA,NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"21","Hemigomphus heteroclytus Selys, 1854","Hemigomphus heteroclytus","species","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Hemigomphus","Hemigomphus heteroclytus",NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
